order_id,customer_id,order_date,category,unit_price,quantity,country,is_returned,revenue
O512974,C106981,2023-01-01,Fashion,68.36,1,United Kingdom,False,68.36
O513775,C107405,2023-01-01,Beauty,57.41,1,United Kingdom,False,57.41
O505424,C102833,2023-01-01,Beauty,108.14,1,United States,False,108.14
O525270,C113557,2023-01-01,Books,26.47,1,United Kingdom,False,26.47
O523175,C112397,2023-01-02,Beauty,51.62,1,Spain,False,51.62
O526188,C114029,2023-01-02,Toys,71.72,1,Spain,False,71.72
O503522,C101855,2023-01-02,Fashion,163.98,1,United Kingdom,False,163.98
O527028,C114493,2023-01-02,Sports & Outdoors,177.84,1,Ireland,False,177.84
O508655,C104561,2023-01-02,Electronics,610.84,1,United Kingdom,False,610.84
O532532,C117302,2023-01-02,Home & Kitchen,188.25,1,Ireland,False,188.25
O517984,C109604,2023-01-02,Sports & Outdoors,176.89,1,United Kingdom,False,176.89
O522255,C111914,2023-01-02,Electronics,352.66,5,Germany,False,1763.3
O508801,C104640,2023-01-02,Beauty,34.04,1,Ireland,False,34.04
O510645,C105712,2023-01-02,Sports & Outdoors,354.76,1,Germany,False,354.76
O536925,C119661,2023-01-02,Home & Kitchen,89.79,1,Germany,False,89.79
O522100,C111831,2023-01-02,Fashion,151.81,1,Ireland,False,151.81
O507206,C103780,2023-01-02,Home & Kitchen,74.96,3,France,False,224.88
O515371,C108219,2023-01-02,Fashion,71.16,4,Spain,False,284.64
O513313,C107156,2023-01-02,Books,53.83,5,Australia,False,269.15
O515904,C108499,2023-01-02,Electronics,816.71,4,France,False,3266.84
O503923,C102050,2023-01-02,Beauty,109.11,1,United Kingdom,False,109.11
O520523,C110965,2023-01-02,Toys,62.07,1,Spain,False,62.07
O517733,C109464,2023-01-02,Fashion,73.37,1,Australia,False,73.37
O530410,C116253,2023-01-02,Fashion,35.6,1,Germany,False,35.6
O508378,C104421,2023-01-02,Books,48.82,1,France,False,48.82
O500823,C100458,2023-01-02,Electronics,611.37,1,Spain,True,0.0
O504130,C102154,2023-01-02,Sports & Outdoors,400.0,1,United Kingdom,False,400.0
O534720,C118497,2023-01-02,Fashion,77.91,1,United Kingdom,False,77.91
O513712,C107370,2023-01-02,Home & Kitchen,159.17,2,France,False,318.34
O518672,C109982,2023-01-02,Fashion,36.82,1,United Kingdom,False,36.82
O529753,C115931,2023-01-02,Fashion,132.17,1,United Kingdom,True,0.0
O536047,C119209,2023-01-02,Beauty,68.01,1,Germany,False,68.01
O536109,C119241,2023-01-02,Fashion,94.56,2,Germany,False,189.12
O503247,C101704,2023-01-02,Beauty,107.02,1,United Kingdom,True,0.0
O525041,C113429,2023-01-02,Sports & Outdoors,137.39,5,United Kingdom,False,686.95
O506820,C103569,2023-01-02,Electronics,798.12,1,United Kingdom,False,798.12
O509169,C104856,2023-01-02,Home & Kitchen,87.4,2,United Kingdom,False,174.8
O532640,C117359,2023-01-02,Electronics,275.93,1,United States,False,275.93
O512127,C106520,2023-01-02,Home & Kitchen,101.3,1,United Kingdom,False,101.3
O537136,C119803,2023-01-02,Toys,64.45,2,United Kingdom,False,128.9
O506981,C103664,2023-01-02,Fashion,115.47,1,United Kingdom,False,115.47
O509040,C104781,2023-01-02,Home & Kitchen,219.36,1,United Kingdom,False,219.36
O521679,C111603,2023-01-02,Books,47.52,1,Netherlands,False,47.52
O503228,C101700,2023-01-03,Sports & Outdoors,181.02,1,United Kingdom,False,181.02
O523999,C112861,2023-01-03,Sports & Outdoors,191.32,1,United Kingdom,False,191.32
O528626,C115365,2023-01-03,Fashion,154.19,1,France,False,154.19
O510025,C105355,2023-01-03,Electronics,317.76,1,United States,False,317.76
O513469,C107242,2023-01-03,Electronics,900.0,1,United Kingdom,False,900.0
O506355,C103322,2023-01-03,Home & Kitchen,52.72,1,France,False,52.72
O532805,C117455,2023-01-03,Fashion,152.23,1,France,False,152.23
O502460,C101304,2023-01-03,Home & Kitchen,128.34,1,United Kingdom,False,128.34
O524906,C113355,2023-01-03,Toys,101.43,1,France,False,101.43
O532525,C117295,2023-01-03,Books,24.05,1,Germany,False,24.05
O535108,C118723,2023-01-03,Fashion,130.91,5,United Kingdom,False,654.55
O520639,C111021,2023-01-03,Electronics,440.93,1,United Kingdom,False,440.93
O528135,C115084,2023-01-03,Books,31.72,1,United Kingdom,False,31.72
O501193,C100637,2023-01-03,Fashion,150.74,1,France,False,150.74
O503300,C101725,2023-01-03,Books,28.43,1,United Kingdom,False,28.43
O526969,C114457,2023-01-03,Home & Kitchen,140.77,1,United Kingdom,False,140.77
O501236,C100663,2023-01-03,Fashion,95.14,1,United Kingdom,False,95.14
O519809,C110605,2023-01-03,Books,50.19,1,United Kingdom,False,50.19
O522615,C112084,2023-01-03,Fashion,78.97,4,Ireland,False,315.88
O528124,C115075,2023-01-03,Toys,84.48,2,Germany,False,168.96
O519331,C110334,2023-01-03,Fashion,51.33,1,Spain,True,0.0
O523877,C112801,2023-01-03,Home & Kitchen,210.23,1,United States,False,210.23
O523740,C112723,2023-01-03,Sports & Outdoors,206.46,1,United Kingdom,False,206.46
O501340,C100713,2023-01-03,Electronics,454.09,1,France,False,454.09
O509710,C105175,2023-01-03,Beauty,93.49,1,United Kingdom,False,93.49
O505035,C102640,2023-01-03,Books,35.53,2,Australia,False,71.06
O511706,C106293,2023-01-03,Beauty,120.0,1,France,False,120.0
O535367,C118855,2023-01-03,Sports & Outdoors,217.58,1,United Kingdom,False,217.58
O505749,C102998,2023-01-03,Beauty,19.49,3,United Kingdom,False,58.47
O507579,C103988,2023-01-03,Electronics,630.49,1,Germany,False,630.49
O530692,C116383,2023-01-03,Electronics,435.01,2,United Kingdom,False,870.02
O508990,C104755,2023-01-03,Home & Kitchen,111.41,1,United Kingdom,False,111.41
O519807,C110603,2023-01-03,Beauty,83.71,1,France,False,83.71
O529044,C115584,2023-01-03,Home & Kitchen,86.99,1,Australia,False,86.99
O526104,C113987,2023-01-03,Beauty,65.88,1,Germany,False,65.88
O515200,C108117,2023-01-03,Books,27.7,1,Germany,False,27.7
O506048,C103160,2023-01-03,Toys,123.12,1,United Kingdom,False,123.12
O521699,C111614,2023-01-03,Home & Kitchen,250.0,2,Germany,False,500.0
O515785,C108437,2023-01-03,Fashion,88.75,1,Spain,True,0.0
O515054,C108054,2023-01-03,Sports & Outdoors,192.22,1,Ireland,True,0.0
O524481,C113135,2023-01-03,Sports & Outdoors,400.0,1,Germany,False,400.0
O503671,C101919,2023-01-03,Fashion,53.95,1,United Kingdom,False,53.95
O515494,C108278,2023-01-03,Beauty,65.63,1,United Kingdom,False,65.63
O530211,C116158,2023-01-03,Fashion,180.0,1,Netherlands,False,180.0
O527963,C114986,2023-01-03,Electronics,292.5,1,Germany,False,292.5
O507455,C103913,2023-01-03,Sports & Outdoors,199.31,3,United Kingdom,False,597.93
O501004,C100552,2023-01-03,Sports & Outdoors,250.39,1,France,False,250.39
O506356,C103322,2023-01-04,Sports & Outdoors,211.4,1,United Kingdom,False,211.4
O522992,C112296,2023-01-04,Toys,84.93,1,United Kingdom,False,84.93
O527795,C114889,2023-01-04,Home & Kitchen,113.35,1,Germany,False,113.35
O501159,C100622,2023-01-04,Books,27.83,1,United Kingdom,False,27.83
O520382,C110897,2023-01-04,Fashion,112.69,1,France,False,112.69
O535086,C118710,2023-01-04,Toys,78.23,2,United States,False,156.46
O516425,C108786,2023-01-04,Beauty,47.17,1,United Kingdom,False,47.17
O516143,C108635,2023-01-04,Home & Kitchen,201.99,5,Australia,False,1009.95
O523996,C112859,2023-01-04,Home & Kitchen,227.18,1,Germany,False,227.18
O527749,C114861,2023-01-04,Toys,150.0,1,Spain,False,150.0
O522689,C112133,2023-01-04,Fashion,63.05,1,Australia,False,63.05
O512862,C106915,2023-01-04,Books,27.53,1,United Kingdom,False,27.53
O520880,C111150,2023-01-04,Home & Kitchen,109.26,1,United Kingdom,True,0.0
O516890,C109039,2023-01-04,Home & Kitchen,115.58,1,United Kingdom,False,115.58
O511220,C106018,2023-01-04,Home & Kitchen,191.97,5,United Kingdom,False,959.85
O529421,C115788,2023-01-04,Fashion,141.37,1,France,False,141.37
O511368,C106101,2023-01-04,Home & Kitchen,47.75,3,Ireland,False,143.25
O518422,C109838,2023-01-04,Beauty,94.97,1,Spain,False,94.97
O512120,C106515,2023-01-04,Toys,147.52,1,Netherlands,True,0.0
O519674,C110524,2023-01-04,Electronics,468.11,1,Australia,False,468.11
O501082,C100598,2023-01-04,Books,38.94,1,Germany,False,38.94
O501834,C100969,2023-01-04,Beauty,28.48,1,France,False,28.48
O511598,C106234,2023-01-04,Toys,67.5,1,United Kingdom,False,67.5
O521236,C111365,2023-01-04,Electronics,363.13,1,Australia,False,363.13
O535873,C119132,2023-01-04,Toys,115.09,1,Germany,False,115.09
O530334,C116224,2023-01-04,Home & Kitchen,53.62,1,Germany,False,53.62
O533289,C117733,2023-01-04,Beauty,106.81,1,Germany,False,106.81
O522180,C111876,2023-01-04,Sports & Outdoors,301.84,1,Spain,False,301.84
O500495,C100301,2023-01-04,Toys,99.52,4,Australia,False,398.08
O511004,C105897,2023-01-04,Home & Kitchen,118.96,1,Spain,False,118.96
O505368,C102805,2023-01-04,Electronics,455.49,1,Spain,False,455.49
O536157,C119276,2023-01-04,Sports & Outdoors,103.12,1,United Kingdom,True,0.0
O519296,C110313,2023-01-04,Books,44.9,1,United Kingdom,False,44.9
O504447,C102325,2023-01-04,Fashion,93.27,1,United Kingdom,False,93.27
O536869,C119628,2023-01-04,Sports & Outdoors,194.37,1,United Kingdom,False,194.37
O536773,C119591,2023-01-04,Electronics,555.87,1,United Kingdom,False,555.87
O526881,C114402,2023-01-04,Home & Kitchen,84.29,1,United States,False,84.29
O534033,C118113,2023-01-04,Beauty,37.47,3,Germany,False,112.41
O520740,C111070,2023-01-04,Books,33.57,1,United Kingdom,True,0.0
O532445,C117255,2023-01-04,Home & Kitchen,250.0,1,United Kingdom,False,250.0
O536430,C119421,2023-01-04,Home & Kitchen,77.78,1,United States,False,77.78
O500144,C100094,2023-01-04,Books,19.4,1,United Kingdom,False,19.4
O514440,C107735,2023-01-04,Home & Kitchen,167.68,1,United Kingdom,False,167.68
O519637,C110503,2023-01-04,Beauty,54.33,1,Netherlands,False,54.33
O502746,C101441,2023-01-04,Beauty,66.99,3,Ireland,False,200.97
O514483,C107761,2023-01-04,Home & Kitchen,126.52,1,United Kingdom,False,126.52
O525814,C113846,2023-01-04,Fashion,148.76,1,United Kingdom,False,148.76
O518165,C109687,2023-01-04,Fashion,126.81,1,Ireland,False,126.81
O505074,C102653,2023-01-04,Home & Kitchen,95.92,1,United Kingdom,False,95.92
O531092,C116587,2023-01-04,Home & Kitchen,101.13,3,United Kingdom,False,303.39
O503394,C101770,2023-01-04,Home & Kitchen,229.39,1,United Kingdom,False,229.39
O505117,C102683,2023-01-04,Sports & Outdoors,275.54,1,Germany,False,275.54
O527847,C114916,2023-01-04,Beauty,62.43,1,United States,False,62.43
O503851,C102012,2023-01-04,Fashion,118.72,1,United Kingdom,False,118.72
O510816,C105781,2023-01-04,Fashion,100.5,1,Spain,False,100.5
O522240,C111912,2023-01-05,Toys,49.71,3,Germany,False,149.13
O500059,C100031,2023-01-05,Fashion,50.36,1,United States,False,50.36
O520118,C110746,2023-01-05,Toys,50.25,1,France,True,0.0
O526612,C114254,2023-01-05,Fashion,74.13,1,Australia,False,74.13
O509326,C104953,2023-01-05,Fashion,29.15,1,United Kingdom,False,29.15
O516867,C109024,2023-01-05,Home & Kitchen,188.46,1,United States,False,188.46
O524224,C112996,2023-01-05,Fashion,43.89,2,United Kingdom,False,87.78
O513930,C107491,2023-01-05,Fashion,62.26,1,Germany,False,62.26
O509028,C104775,2023-01-05,Electronics,419.75,5,United States,False,2098.75
O519706,C110541,2023-01-05,Home & Kitchen,92.08,1,United Kingdom,True,0.0
O525808,C113842,2023-01-05,Fashion,144.05,1,Australia,False,144.05
O529425,C115790,2023-01-05,Electronics,402.83,1,United Kingdom,False,402.83
O504877,C102555,2023-01-05,Fashion,69.84,1,France,False,69.84
O535443,C118898,2023-01-05,Fashion,64.19,1,Germany,False,64.19
O533662,C117944,2023-01-05,Toys,47.15,4,Australia,False,188.6
O510970,C105878,2023-01-05,Electronics,359.19,3,United States,False,1077.57
O532369,C117214,2023-01-05,Home & Kitchen,47.7,1,United States,False,47.7
O531294,C116695,2023-01-05,Sports & Outdoors,205.16,1,United Kingdom,False,205.16
O535396,C118870,2023-01-05,Beauty,79.12,1,France,False,79.12
O517652,C109416,2023-01-05,Electronics,410.24,5,United Kingdom,False,2051.2
O529536,C115841,2023-01-05,Toys,82.56,1,United Kingdom,False,82.56
O522630,C112096,2023-01-05,Books,23.59,1,United States,False,23.59
O505339,C102793,2023-01-05,Electronics,446.07,1,United Kingdom,False,446.07
O531781,C116940,2023-01-05,Fashion,131.48,1,Australia,False,131.48
O526494,C114192,2023-01-05,Home & Kitchen,190.02,2,Australia,False,380.04
O504341,C102272,2023-01-05,Home & Kitchen,138.75,1,Germany,False,138.75
O507705,C104056,2023-01-05,Books,40.06,2,France,False,80.12
O507082,C103726,2023-01-05,Home & Kitchen,149.25,3,Netherlands,False,447.75
O503635,C101898,2023-01-05,Home & Kitchen,206.3,1,United Kingdom,False,206.3
O523671,C112680,2023-01-05,Electronics,900.0,2,Germany,False,1800.0
O515789,C108438,2023-01-05,Sports & Outdoors,120.47,1,United Kingdom,False,120.47
O511895,C106396,2023-01-05,Sports & Outdoors,254.31,1,Germany,False,254.31
O530320,C116214,2023-01-05,Electronics,269.45,1,United States,False,269.45
O514359,C107680,2023-01-05,Sports & Outdoors,90.68,1,United States,False,90.68
O522277,C111918,2023-01-05,Home & Kitchen,223.89,3,United Kingdom,False,671.67
O522334,C111949,2023-01-06,Sports & Outdoors,171.23,1,United Kingdom,False,171.23
O526159,C114012,2023-01-06,Home & Kitchen,194.59,1,United Kingdom,False,194.59
O524789,C113291,2023-01-06,Fashion,138.27,1,United Kingdom,False,138.27
O504599,C102397,2023-01-06,Fashion,88.67,1,United Kingdom,False,88.67
O514061,C107561,2023-01-06,Fashion,70.87,1,Netherlands,False,70.87
O514073,C107569,2023-01-06,Fashion,63.95,1,United Kingdom,False,63.95
O505090,C102664,2023-01-06,Fashion,63.39,1,Spain,True,0.0
O535087,C118711,2023-01-06,Sports & Outdoors,376.6,1,Spain,False,376.6
O510069,C105371,2023-01-06,Sports & Outdoors,139.8,1,United States,False,139.8
O513348,C107177,2023-01-06,Fashion,108.44,1,United Kingdom,False,108.44
O520661,C111030,2023-01-06,Electronics,296.36,1,United Kingdom,False,296.36
O513416,C107211,2023-01-06,Fashion,136.25,4,Australia,False,545.0
O532130,C117103,2023-01-06,Sports & Outdoors,207.34,1,Germany,False,207.34
O510864,C105810,2023-01-06,Books,20.16,1,United Kingdom,False,20.16
O532432,C117252,2023-01-06,Home & Kitchen,175.7,1,United Kingdom,False,175.7
O531140,C116609,2023-01-06,Electronics,534.61,1,United Kingdom,False,534.61
O529527,C115837,2023-01-06,Toys,81.03,3,United Kingdom,False,243.09
O506204,C103236,2023-01-06,Toys,42.16,1,Germany,False,42.16
O511082,C105940,2023-01-06,Home & Kitchen,227.18,1,United Kingdom,True,0.0
O515875,C108485,2023-01-06,Toys,58.28,1,United Kingdom,False,58.28
O535709,C119041,2023-01-06,Home & Kitchen,187.01,1,Australia,False,187.01
O532917,C117527,2023-01-06,Electronics,545.61,1,Australia,False,545.61
O530171,C116139,2023-01-06,Beauty,46.51,1,Germany,False,46.51
O526660,C114273,2023-01-06,Home & Kitchen,130.42,3,Netherlands,False,391.26
O510281,C105489,2023-01-06,Electronics,834.0,1,United Kingdom,False,834.0
O535171,C118760,2023-01-06,Fashion,63.47,1,United Kingdom,False,63.47
O508441,C104463,2023-01-06,Sports & Outdoors,142.21,1,Germany,False,142.21
O522139,C111859,2023-01-06,Books,23.4,1,Spain,False,23.4
O531024,C116553,2023-01-06,Fashion,137.97,1,Netherlands,False,137.97
O502254,C101187,2023-01-06,Home & Kitchen,76.96,3,Germany,False,230.88
O513805,C107422,2023-01-06,Electronics,475.11,1,Netherlands,False,475.11
O516572,C108857,2023-01-06,Electronics,454.3,1,France,False,454.3
O505730,C102986,2023-01-06,Beauty,59.22,1,United Kingdom,False,59.22
O536402,C119405,2023-01-06,Sports & Outdoors,262.23,1,Ireland,False,262.23
O511538,C106190,2023-01-06,Electronics,464.11,1,United Kingdom,False,464.11
O536382,C119392,2023-01-06,Books,20.53,1,United Kingdom,False,20.53
O501348,C100718,2023-01-06,Fashion,180.0,1,Spain,False,180.0
O520965,C111202,2023-01-07,Home & Kitchen,101.68,1,United Kingdom,False,101.68
O511885,C106388,2023-01-07,Fashion,54.97,1,Australia,False,54.97
O514894,C107977,2023-01-07,Electronics,838.83,3,Germany,False,2516.49
O519230,C110285,2023-01-07,Electronics,746.07,1,Ireland,False,746.07
O517728,C109461,2023-01-07,Electronics,825.49,1,United Kingdom,False,825.49
O529846,C115991,2023-01-07,Fashion,180.0,1,Germany,False,180.0
O513201,C107100,2023-01-07,Electronics,379.77,3,United Kingdom,False,1139.31
O523332,C112483,2023-01-07,Fashion,70.2,1,United Kingdom,False,70.2
O518153,C109682,2023-01-07,Books,18.39,1,Netherlands,False,18.39
O518169,C109689,2023-01-07,Electronics,681.21,1,United Kingdom,False,681.21
O517604,C109387,2023-01-07,Electronics,811.48,1,United Kingdom,False,811.48
O527965,C114986,2023-01-07,Beauty,120.0,2,United Kingdom,False,240.0
O534093,C118142,2023-01-07,Toys,101.21,1,Germany,True,0.0
O513676,C107350,2023-01-07,Sports & Outdoors,98.74,1,United States,False,98.74
O512856,C106912,2023-01-07,Sports & Outdoors,82.91,1,United Kingdom,False,82.91
O505555,C102903,2023-01-07,Fashion,89.76,1,United Kingdom,False,89.76
O534828,C118554,2023-01-07,Books,46.62,3,United States,False,139.86
O535865,C119127,2023-01-07,Sports & Outdoors,400.0,1,United Kingdom,False,400.0
O518503,C109893,2023-01-07,Home & Kitchen,103.67,1,United Kingdom,False,103.67
O522853,C112218,2023-01-07,Books,41.6,1,France,False,41.6
O510353,C105531,2023-01-07,Electronics,404.26,1,United Kingdom,False,404.26
O507992,C104214,2023-01-07,Home & Kitchen,116.56,5,France,False,582.8
O514242,C107636,2023-01-07,Home & Kitchen,149.6,1,United Kingdom,False,149.6
O537415,C119930,2023-01-07,Toys,62.71,1,United Kingdom,False,62.71
O532766,C117428,2023-01-07,Fashion,128.43,1,Spain,False,128.43
O534995,C118656,2023-01-07,Fashion,104.13,1,United Kingdom,True,0.0
O536153,C119272,2023-01-07,Fashion,74.79,1,Spain,False,74.79
O537396,C119928,2023-01-07,Sports & Outdoors,270.78,1,Germany,False,270.78
O514065,C107565,2023-01-07,Home & Kitchen,250.0,5,United Kingdom,False,1250.0
O519088,C110216,2023-01-07,Books,21.68,1,United Kingdom,False,21.68
O528767,C115441,2023-01-07,Fashion,92.52,1,United Kingdom,False,92.52
O508034,C104238,2023-01-07,Sports & Outdoors,122.32,1,United Kingdom,False,122.32
O536282,C119343,2023-01-07,Fashion,57.97,1,Ireland,False,57.97
O533992,C118086,2023-01-07,Home & Kitchen,173.8,5,United States,False,869.0
O507070,C103718,2023-01-07,Home & Kitchen,155.2,1,Spain,False,155.2
O536639,C119519,2023-01-07,Home & Kitchen,110.8,2,Ireland,False,221.6
O502118,C101114,2023-01-07,Sports & Outdoors,183.19,5,Germany,False,915.95
O528166,C115105,2023-01-07,Electronics,358.61,1,France,False,358.61
O511071,C105932,2023-01-07,Fashion,180.0,1,United Kingdom,False,180.0
O524171,C112959,2023-01-07,Fashion,51.13,1,United Kingdom,False,51.13
O520868,C111141,2023-01-07,Beauty,120.0,2,France,False,240.0
O511617,C106246,2023-01-07,Electronics,372.52,1,United Kingdom,False,372.52
O526190,C114031,2023-01-07,Fashion,155.72,1,United Kingdom,False,155.72
O507051,C103712,2023-01-07,Electronics,424.52,1,Australia,False,424.52
O516038,C108574,2023-01-07,Home & Kitchen,109.35,1,Spain,False,109.35
O515012,C108035,2023-01-07,Fashion,180.0,1,Ireland,False,180.0
O508608,C104546,2023-01-07,Fashion,180.0,1,Germany,False,180.0
O520896,C111161,2023-01-07,Home & Kitchen,88.37,5,United Kingdom,False,441.85
O530864,C116470,2023-01-07,Home & Kitchen,88.0,1,United Kingdom,False,88.0
O509189,C104872,2023-01-08,Electronics,516.55,1,United Kingdom,False,516.55
O526965,C114454,2023-01-08,Sports & Outdoors,400.0,1,France,False,400.0
O533298,C117735,2023-01-08,Home & Kitchen,62.29,1,Australia,False,62.29
O523580,C112624,2023-01-08,Toys,87.4,4,Spain,False,349.6
O517340,C109252,2023-01-08,Home & Kitchen,81.07,3,United Kingdom,False,243.21
O527665,C114802,2023-01-08,Electronics,93.05,2,United Kingdom,True,0.0
O533524,C117869,2023-01-08,Books,46.67,1,United States,False,46.67
O518860,C110077,2023-01-08,Books,50.89,1,Germany,False,50.89
O509158,C104852,2023-01-08,Home & Kitchen,50.47,3,United Kingdom,False,151.41
O527986,C114999,2023-01-08,Books,42.03,1,France,False,42.03
O522178,C111874,2023-01-08,Toys,123.79,1,Netherlands,False,123.79
O515170,C108100,2023-01-08,Books,21.87,5,Australia,False,109.35
O502005,C101060,2023-01-08,Beauty,62.53,5,United States,False,312.65
O526785,C114348,2023-01-08,Fashion,161.73,1,Germany,False,161.73
O528833,C115481,2023-01-08,Toys,121.3,1,Germany,False,121.3
O510752,C105756,2023-01-08,Beauty,120.0,1,Germany,False,120.0
O506269,C103274,2023-01-08,Home & Kitchen,250.0,3,United Kingdom,False,750.0
O527996,C115007,2023-01-08,Toys,38.61,1,United Kingdom,True,0.0
O536837,C119608,2023-01-08,Sports & Outdoors,95.98,2,United Kingdom,False,191.96
O503659,C101915,2023-01-08,Books,14.67,3,Spain,False,44.01
O500194,C100122,2023-01-08,Electronics,309.78,1,United Kingdom,False,309.78
O508579,C104537,2023-01-08,Home & Kitchen,77.03,1,Australia,False,77.03
O514987,C108018,2023-01-08,Home & Kitchen,105.16,2,United Kingdom,False,210.32
O533867,C118031,2023-01-08,Fashion,111.43,1,United Kingdom,True,0.0
O529677,C115886,2023-01-08,Fashion,72.97,1,United Kingdom,False,72.97
O506584,C103454,2023-01-08,Home & Kitchen,59.91,1,Germany,False,59.91
O504112,C102147,2023-01-08,Sports & Outdoors,338.86,1,Australia,False,338.86
O513541,C107277,2023-01-08,Home & Kitchen,211.91,1,France,False,211.91
O535360,C118851,2023-01-08,Home & Kitchen,191.92,1,United Kingdom,False,191.92
O512989,C106992,2023-01-08,Home & Kitchen,126.91,1,United Kingdom,False,126.91
O532402,C117233,2023-01-08,Toys,62.55,2,Spain,False,125.1
O501038,C100574,2023-01-08,Books,60.0,5,United States,False,300.0
O510805,C105780,2023-01-08,Fashion,180.0,1,United Kingdom,True,0.0
O537370,C119915,2023-01-08,Electronics,405.95,1,Germany,True,0.0
O501679,C100899,2023-01-08,Home & Kitchen,49.28,1,France,False,49.28
O506591,C103455,2023-01-08,Home & Kitchen,159.26,1,Germany,False,159.26
O517826,C109509,2023-01-08,Fashion,115.17,2,Ireland,False,230.34
O528279,C115156,2023-01-08,Fashion,58.75,1,United States,False,58.75
O535753,C119066,2023-01-08,Sports & Outdoors,303.29,2,United Kingdom,False,606.58
O528029,C115023,2023-01-08,Fashion,74.05,2,United Kingdom,False,148.1
O513509,C107258,2023-01-08,Home & Kitchen,199.12,2,United Kingdom,False,398.24
O521858,C111705,2023-01-08,Books,40.99,4,Netherlands,False,163.96
O525485,C113662,2023-01-08,Fashion,162.29,2,Spain,False,324.58
O507858,C104139,2023-01-08,Beauty,72.86,1,United Kingdom,False,72.86
O532119,C117099,2023-01-09,Electronics,383.7,1,United Kingdom,False,383.7
O517141,C109170,2023-01-09,Toys,86.1,2,United Kingdom,False,172.2
O503537,C101859,2023-01-09,Toys,57.75,1,United States,False,57.75
O528240,C115147,2023-01-09,Toys,116.38,1,Australia,False,116.38
O500003,C100002,2023-01-09,Toys,132.02,1,United Kingdom,False,132.02
O501599,C100853,2023-01-09,Fashion,157.45,1,United Kingdom,False,157.45
O512421,C106672,2023-01-09,Home & Kitchen,179.39,1,United States,False,179.39
O535494,C118926,2023-01-09,Beauty,46.26,1,United Kingdom,False,46.26
O534541,C118400,2023-01-09,Fashion,65.66,1,Netherlands,False,65.66
O526995,C114475,2023-01-09,Sports & Outdoors,217.78,1,United Kingdom,False,217.78
O535787,C119075,2023-01-09,Beauty,43.43,1,United Kingdom,False,43.43
