date,trips
2022-10-08,10563
2022-10-09,9237
2022-10-10,6911
2022-10-11,7563
2022-10-12,8289
2022-10-13,7882
2022-10-14,10393
2022-10-15,10750
2022-10-16,8334
2022-10-17,7569
2022-10-18,6752
2022-10-19,7485
2022-10-20,8830
2022-10-21,9102
2022-10-22,11264
2022-10-23,8408
2022-10-24,7749
2022-10-25,7223
2022-10-26,6741
2022-10-27,7747
2022-10-28,9482
2022-10-29,9584
2022-10-30,7765
2022-10-31,7415
2022-11-01,6879
2022-11-02,6856
2022-11-03,7602
2022-11-04,9670
2022-11-05,9802
2022-11-06,8606
2022-11-07,7741
2022-11-08,7035
2022-11-09,6984
2022-11-10,7273
2022-11-11,9153
2022-11-12,10364
2022-11-13,8241
2022-11-14,7309
2022-11-15,6796
2022-11-16,7436
2022-11-17,7520
2022-11-18,8929
2022-11-19,9198
2022-11-20,7423
2022-11-21,6881
2022-11-22,6509
2022-11-23,6917
2022-11-24,7896
2022-11-25,8958
2022-11-26,11183
2022-11-27,8370
2022-11-28,8138
2022-11-29,7112
2022-11-30,7349
2022-12-01,7335
2022-12-02,9450
2022-12-03,9333
2022-12-04,6743
2022-12-05,7248
2022-12-06,6606
2022-12-07,7727
2022-12-08,7323
2022-12-09,8401
2022-12-10,10432
2022-12-11,7514
2022-12-12,7027
2022-12-13,7298
2022-12-14,7224
2022-12-15,7530
2022-12-16,8968
2022-12-17,10085
2022-12-18,7621
2022-12-19,7172
2022-12-20,7006
2022-12-21,8029
2022-12-22,7444
2022-12-23,8530
2022-12-24,8046
2022-12-25,4682
2022-12-26,7081
2022-12-27,6878
2022-12-28,7639
2022-12-29,7353
2022-12-30,8936
2022-12-31,12754
2023-01-01,5353
2023-01-02,7559
2023-01-03,6639
2023-01-04,7008
2023-01-05,7188
2023-01-06,9304
2023-01-07,9907
2023-01-08,7587
2023-01-09,7312
2023-01-10,7021
2023-01-11,7603
2023-01-12,7475
2023-01-13,9920
2023-01-14,10119
2023-01-15,8099
2023-01-16,6964
2023-01-17,6920
2023-01-18,7725
2023-01-19,7706
2023-01-20,9731
2023-01-21,10325
2023-01-22,8801
2023-01-23,7534
2023-01-24,7073
2023-01-25,6788
2023-01-26,8034
2023-01-27,9729
2023-01-28,10257
2023-01-29,8596
2023-01-30,7171
2023-01-31,7063
2023-02-01,7258
2023-02-02,8584
2023-02-03,9580
2023-02-04,10080
2023-02-05,7931
2023-02-06,7406
2023-02-07,7846
2023-02-08,7923
2023-02-09,7876
2023-02-10,10358
2023-02-11,11263
2023-02-12,9069
2023-02-13,7894
2023-02-14,7879
2023-02-15,8097
2023-02-16,8643
2023-02-17,9460
2023-02-18,11509
2023-02-19,8908
2023-02-20,8520
2023-02-21,6815
2023-02-22,8317
2023-02-23,8896
2023-02-24,9862
2023-02-25,11161
2023-02-26,9314
2023-02-27,8117
2023-02-28,7530
2023-03-01,8134
2023-03-02,9089
2023-03-03,10888
2023-03-04,11188
2023-03-05,9194
2023-03-06,8129
2023-03-07,8305
2023-03-08,7918
2023-03-09,8237
2023-03-10,10507
2023-03-11,10731
2023-03-12,9071
2023-03-13,8248
2023-03-14,8251
2023-03-15,8072
2023-03-16,9365
2023-03-17,9710
2023-03-18,11908
2023-03-19,8784
2023-03-20,7845
2023-03-21,8485
2023-03-22,8526
2023-03-23,8821
2023-03-24,10629
2023-03-25,12101
2023-03-26,9702
2023-03-27,8535
2023-03-28,8828
2023-03-29,8558
2023-03-30,9148
2023-03-31,10797
2023-04-01,12764
2023-04-02,10411
2023-04-03,9276
2023-04-04,8534
2023-04-05,8977
2023-04-06,9956
2023-04-07,11075
2023-04-08,12798
2023-04-09,10472
2023-04-10,8568
2023-04-11,8671
2023-04-12,9160
2023-04-13,10567
2023-04-14,12992
2023-04-15,12447
2023-04-16,10295
2023-04-17,8005
2023-04-18,8955
2023-04-19,9372
2023-04-20,9362
2023-04-21,12161
2023-04-22,11726
2023-04-23,10348
2023-04-24,9250
2023-04-25,8444
2023-04-26,9936
2023-04-27,10582
2023-04-28,11063
2023-04-29,12012
2023-04-30,10942
2023-05-01,9312
2023-05-02,8589
2023-05-03,9527
2023-05-04,10144
2023-05-05,11972
2023-05-06,13648
2023-05-07,10978
2023-05-08,10292
2023-05-09,9904
2023-05-10,10132
2023-05-11,10890
2023-05-12,13023
2023-05-13,13741
2023-05-14,10237
2023-05-15,9982
2023-05-16,9412
2023-05-17,10717
2023-05-18,10501
2023-05-19,12677
2023-05-20,13640
2023-05-21,11950
2023-05-22,9758
2023-05-23,9347
2023-05-24,10169
2023-05-25,10323
2023-05-26,12571
2023-05-27,13539
2023-05-28,11274
2023-05-29,10695
2023-05-30,9362
2023-05-31,10116
2023-06-01,10533
2023-06-02,12990
2023-06-03,12839
2023-06-04,10816
2023-06-05,9806
2023-06-06,9882
2023-06-07,10139
2023-06-08,10437
2023-06-09,12094
2023-06-10,14073
2023-06-11,12076
2023-06-12,10035
2023-06-13,9757
2023-06-14,10435
2023-06-15,10245
2023-06-16,12495
2023-06-17,13589
2023-06-18,11470
2023-06-19,9891
2023-06-20,9105
2023-06-21,10812
2023-06-22,11689
2023-06-23,12552
2023-06-24,14075
2023-06-25,11472
2023-06-26,10309
2023-06-27,8987
2023-06-28,11070
2023-06-29,10530
2023-06-30,13527
2023-07-01,13855
2023-07-02,11097
2023-07-03,9845
2023-07-04,12664
2023-07-05,9791
2023-07-06,10566
2023-07-07,12395
2023-07-08,12591
2023-07-09,12027
2023-07-10,10177
2023-07-11,9660
2023-07-12,10796
2023-07-13,10220
2023-07-14,12611
2023-07-15,14905
2023-07-16,11799
2023-07-17,8752
2023-07-18,8023
2023-07-19,9627
2023-07-20,11246
2023-07-21,12293
2023-07-22,13497
2023-07-23,11523
2023-07-24,9356
2023-07-25,9668
2023-07-26,10487
2023-07-27,10855
2023-07-28,12750
2023-07-29,13139
2023-07-30,11385
2023-07-31,9506
2023-08-01,10110
2023-08-02,11291
2023-08-03,10129
2023-08-04,11047
2023-08-05,13141
2023-08-06,11206
2023-08-07,10129
2023-08-08,9908
2023-08-09,9520
2023-08-10,10001
2023-08-11,13046
2023-08-12,12562
2023-08-13,11476
2023-08-14,9412
2023-08-15,9654
2023-08-16,10143
2023-08-17,10695
2023-08-18,12625
2023-08-19,12482
2023-08-20,10913
2023-08-21,9411
2023-08-22,9325
2023-08-23,10272
2023-08-24,10027
2023-08-25,11546
2023-08-26,12489
2023-08-27,10447
2023-08-28,9629
2023-08-29,8690
2023-08-30,10097
2023-08-31,10171
2023-09-01,11672
2023-09-02,11928
2023-09-03,10589
2023-09-04,9463
2023-09-05,8140
2023-09-06,9965
2023-09-07,10692
2023-09-08,11827
2023-09-09,12898
2023-09-10,11547
2023-09-11,9563
2023-09-12,8398
2023-09-13,9252
2023-09-14,9649
2023-09-15,11364
2023-09-16,10927
2023-09-17,10526
2023-09-18,8584
2023-09-19,8724
2023-09-20,9051
2023-09-21,9987
2023-09-22,11100
2023-09-23,11708
2023-09-24,10244
2023-09-25,9336
2023-09-26,8377
2023-09-27,9579
2023-09-28,9538
2023-09-29,10788
2023-09-30,12910
2023-10-01,9415
2023-10-02,9016
2023-10-03,8166
2023-10-04,9018
2023-10-05,8691
2023-10-06,10447
2023-10-07,12429
2023-10-08,9749
2023-10-09,8459
2023-10-10,8059
2023-10-11,8872
2023-10-12,8477
2023-10-13,10129
2023-10-14,11522
2023-10-15,9109
2023-10-16,8019
2023-10-17,8082
2023-10-18,8484
2023-10-19,8873
2023-10-20,11445
2023-10-21,12015
2023-10-22,9937
2023-10-23,8174
2023-10-24,7789
2023-10-25,7805
2023-10-26,8688
2023-10-27,9327
2023-10-28,10944
2023-10-29,9582
2023-10-30,8725
2023-10-31,8260
2023-11-01,7944
2023-11-02,8938
2023-11-03,9869
2023-11-04,11582
2023-11-05,9059
2023-11-06,8310
2023-11-07,8782
2023-11-08,8578
2023-11-09,9622
2023-11-10,10242
2023-11-11,10814
2023-11-12,9606
2023-11-13,8558
2023-11-14,7483
2023-11-15,8143
2023-11-16,7916
2023-11-17,9948
2023-11-18,11370
2023-11-19,8880
2023-11-20,7583
2023-11-21,7090
2023-11-22,8189
2023-11-23,8792
2023-11-24,10264
2023-11-25,10938
2023-11-26,8287
2023-11-27,8431
2023-11-28,9062
2023-11-29,7929
2023-11-30,8709
2023-12-01,8835
2023-12-02,10704
2023-12-03,8743
2023-12-04,7852
2023-12-05,8045
2023-12-06,8140
2023-12-07,7601
2023-12-08,9702
2023-12-09,10812
2023-12-10,8841
2023-12-11,7196
2023-12-12,6894
2023-12-13,8155
2023-12-14,8497
2023-12-15,9847
2023-12-16,9770
2023-12-17,9550
2023-12-18,6572
2023-12-19,7385
2023-12-20,8772
2023-12-21,8296
2023-12-22,9985
2023-12-23,10079
2023-12-24,7510
2023-12-25,4325
2023-12-26,7638
2023-12-27,8020
2023-12-28,7950
2023-12-29,10347
2023-12-30,9994
2023-12-31,12793
2024-01-01,5414
2024-01-02,7427
2024-01-03,8200
2024-01-04,8833
2024-01-05,9827
2024-01-06,10537
2024-01-07,8665
2024-01-08,7660
2024-01-09,7952
2024-01-10,7990
2024-01-11,8688
2024-01-12,10016
2024-01-13,10469
2024-01-14,9367
2024-01-15,7471
2024-01-16,7723
2024-01-17,8770
2024-01-18,8137
2024-01-19,10146
2024-01-20,10179
2024-01-21,8854
2024-01-22,7379
2024-01-23,7675
2024-01-24,8044
2024-01-25,8776
2024-01-26,11125
2024-01-27,11363
2024-01-28,9513
2024-01-29,8067
2024-01-30,7831
2024-01-31,8037
2024-02-01,8051
2024-02-02,10500
2024-02-03,12303
2024-02-04,9576
2024-02-05,7995
2024-02-06,8719
2024-02-07,8339
2024-02-08,8715
2024-02-09,9993
2024-02-10,11012
2024-02-11,9396
2024-02-12,9192
2024-02-13,8111
2024-02-14,8226
2024-02-15,8876
2024-02-16,10709
2024-02-17,10770
2024-02-18,9749
2024-02-19,8809
2024-02-20,8482
2024-02-21,9101
2024-02-22,8725
2024-02-23,10098
2024-02-24,12775
2024-02-25,10414
2024-02-26,8007
2024-02-27,8598
2024-02-28,9020
2024-02-29,9768
2024-03-01,11370
2024-03-02,11933
2024-03-03,10168
2024-03-04,8917
2024-03-05,8659
2024-03-06,8337
2024-03-07,8247
2024-03-08,11025
2024-03-09,11466
2024-03-10,10402
2024-03-11,9350
2024-03-12,8972
2024-03-13,9201
2024-03-14,9931
2024-03-15,12394
2024-03-16,12275
2024-03-17,10964
2024-03-18,9535
2024-03-19,9153
2024-03-20,10258
2024-03-21,9733
2024-03-22,12509
2024-03-23,12391
2024-03-24,10280
2024-03-25,8895
2024-03-26,9420
2024-03-27,9295
2024-03-28,10322
2024-03-29,11489
2024-03-30,13956
2024-03-31,11899
2024-04-01,9683
2024-04-02,10164
2024-04-03,10219
2024-04-04,11630
2024-04-05,12475
2024-04-06,12441
2024-04-07,11931
2024-04-08,9693
2024-04-09,9071
2024-04-10,9792
2024-04-11,9815
2024-04-12,12533
2024-04-13,13008
2024-04-14,12141
2024-04-15,10257
2024-04-16,8927
2024-04-17,9523
2024-04-18,10561
2024-04-19,11618
2024-04-20,13900
2024-04-21,11467
2024-04-22,9702
2024-04-23,9625
2024-04-24,10729
2024-04-25,11828
2024-04-26,14036
2024-04-27,14221
2024-04-28,12170
2024-04-29,9868
2024-04-30,10251
2024-05-01,10114
2024-05-02,11614
2024-05-03,12428
2024-05-04,13704
2024-05-05,11829
2024-05-06,10678
2024-05-07,9449
2024-05-08,10478
2024-05-09,11430
2024-05-10,13574
2024-05-11,13971
2024-05-12,12041
2024-05-13,10376
2024-05-14,11028
2024-05-15,11197
2024-05-16,10725
2024-05-17,12079
2024-05-18,14818
2024-05-19,12829
2024-05-20,10720
2024-05-21,10870
2024-05-22,10738
2024-05-23,10808
2024-05-24,14216
2024-05-25,14957
2024-05-26,12641
2024-05-27,9982
2024-05-28,10596
2024-05-29,10749
2024-05-30,12164
2024-05-31,13410
2024-06-01,14541
2024-06-02,11952
2024-06-03,11480
2024-06-04,10588
2024-06-05,10744
2024-06-06,11164
2024-06-07,13169
2024-06-08,16185
2024-06-09,11257
2024-06-10,10393
2024-06-11,10963
2024-06-12,11882
2024-06-13,11730
2024-06-14,14499
2024-06-15,15715
2024-06-16,13037
2024-06-17,10915
2024-06-18,11539
2024-06-19,11374
2024-06-20,12764
2024-06-21,13225
2024-06-22,15898
2024-06-23,11677
2024-06-24,10101
2024-06-25,10949
2024-06-26,10811
2024-06-27,12137
2024-06-28,13260
2024-06-29,16415
2024-06-30,12471
2024-07-01,10304
2024-07-02,10776
2024-07-03,11770
2024-07-04,14261
2024-07-05,14358
2024-07-06,16728
2024-07-07,12985
2024-07-08,10896
2024-07-09,10357
2024-07-10,11571
2024-07-11,10938
2024-07-12,11840
2024-07-13,14625
2024-07-14,11732
2024-07-15,11804
2024-07-16,10690
2024-07-17,10647
2024-07-18,11095
2024-07-19,14232
2024-07-20,14427
2024-07-21,11977
2024-07-22,10749
2024-07-23,10600
2024-07-24,11183
2024-07-25,11770
2024-07-26,14690
2024-07-27,16216
2024-07-28,11240
2024-07-29,12097
2024-07-30,10542
2024-07-31,11727
2024-08-01,11182
2024-08-02,13903
2024-08-03,14980
2024-08-04,12210
2024-08-05,11074
2024-08-06,10704
2024-08-07,10390
2024-08-08,11429
2024-08-09,14037
2024-08-10,15172
2024-08-11,11814
2024-08-12,10363
2024-08-13,10186
2024-08-14,10222
2024-08-15,10638
2024-08-16,14436
2024-08-17,14213
2024-08-18,11928
2024-08-19,9996
2024-08-20,10794
2024-08-21,11614
2024-08-22,11100
2024-08-23,13556
2024-08-24,13772
2024-08-25,12746
2024-08-26,10717
2024-08-27,9584
2024-08-28,11191
2024-08-29,11267
2024-08-30,13302
2024-08-31,14360
2024-09-01,11164
2024-09-02,9827
2024-09-03,10162
2024-09-04,10356
2024-09-05,10389
2024-09-06,14137
2024-09-07,13750
2024-09-08,11056
2024-09-09,9596
2024-09-10,10038
2024-09-11,10716
2024-09-12,10864
2024-09-13,13183
2024-09-14,12654
2024-09-15,10985
2024-09-16,9554
2024-09-17,9551
2024-09-18,10300
2024-09-19,9486
2024-09-20,14366
2024-09-21,12870
2024-09-22,11197
2024-09-23,10019
2024-09-24,9788
2024-09-25,10006
2024-09-26,8876
2024-09-27,11559
2024-09-28,13725
2024-09-29,10325
2024-09-30,8961
2024-10-01,8146
2024-10-02,10310
2024-10-03,10465
2024-10-04,11478
2024-10-05,12913
2024-10-06,10584
2024-10-07,8779
2024-10-08,8949
2024-10-09,9675
2024-10-10,10309
2024-10-11,12557
2024-10-12,12800
2024-10-13,10218
2024-10-14,9327
2024-10-15,8644
2024-10-16,8811
2024-10-17,10435
2024-10-18,11400
2024-10-19,12654
2024-10-20,10630
2024-10-21,8503
2024-10-22,9068
2024-10-23,9464
2024-10-24,9675
2024-10-25,11674
2024-10-26,11925
2024-10-27,9028
2024-10-28,8746
2024-10-29,8268
2024-10-30,9521
2024-10-31,9714
2024-11-01,10993
2024-11-02,12255
2024-11-03,10687
2024-11-04,9252
2024-11-05,8708
2024-11-06,9203
2024-11-07,9336
2024-11-08,11080
2024-11-09,12434
2024-11-10,9833
2024-11-11,8783
2024-11-12,7981
2024-11-13,8166
2024-11-14,8569
2024-11-15,10793
2024-11-16,12746
2024-11-17,10371
2024-11-18,8142
2024-11-19,7721
2024-11-20,9176
2024-11-21,9495
2024-11-22,10190
2024-11-23,12479
2024-11-24,9797
2024-11-25,9064
2024-11-26,8451
2024-11-27,9153
2024-11-28,11237
2024-11-29,10349
2024-11-30,11641
2024-12-01,9328
2024-12-02,8805
2024-12-03,7854
2024-12-04,8051
2024-12-05,9487
2024-12-06,11440
2024-12-07,12580
2024-12-08,10146
2024-12-09,7792
2024-12-10,7955
2024-12-11,8459
2024-12-12,9143
2024-12-13,9638
2024-12-14,11709
2024-12-15,9743
2024-12-16,8020
2024-12-17,8287
2024-12-18,9215
2024-12-19,9178
2024-12-20,11379
2024-12-21,12322
2024-12-22,9821
2024-12-23,8598
2024-12-24,6483
2024-12-25,5556
2024-12-26,8968
2024-12-27,10466
2024-12-28,12186
2024-12-29,9312
2024-12-30,8654
2024-12-31,13101
